Location,Time,Loc_Time,TotalMigrants,GDP,NetMigrations
Bermuda,2005,Bermuda2005,18108,75882.03386,-0.08
Bermuda,2010,Bermuda2010,18547,101875.2841,-0.216
Bermuda,2015,Bermuda2015,19212,102005.6256,-0.315
Bermuda,2020,Bermuda2020,19739,107706.0398,0.291
Bhutan,1990,Bhutan1990,23807,541.9322571,-0.996
Bhutan,1995,Bhutan1995,27972,543.3016187,-1.497
Bhutan,2000,Bhutan2000,32137,718.196337,6.069
Bhutan,2005,Bhutan2005,40279,1228.432356,1.779
Bhutan,2010,Bhutan2010,48420,2258.186435,-1.19
Bhutan,2015,Bhutan2015,51106,2752.630172,-1.171
Bhutan,2020,Bhutan2020,53612,3000.777986,0.291
Bolivia,1990,Bolivia1990,73758,709.0599791,-21.915
Bolivia,1995,Bolivia1995,83598,880.9926836,-23.615
Bolivia,2000,Bolivia2000,92658,997.5817508,-17.675
Bolivia,2005,Bolivia2005,107745,1034.311806,-14.657
Bolivia,2010,Bolivia2010,122846,1955.460181,-12.592
Bolivia,2015,Bolivia2015,143008,3035.971655,-10.525
Bolivia,2020,Bolivia2020,164121,3137.989617,-4.666
"Bonaire, Sint Eustatius and Saba",1990,"Bonaire, Sint Eustatius and Saba1990",13010,1,0
"Bonaire, Sint Eustatius and Saba",1995,"Bonaire, Sint Eustatius and Saba1995",15101,1,0
"Bonaire, Sint Eustatius and Saba",2000,"Bonaire, Sint Eustatius and Saba2000",14387,1,0
"Bonaire, Sint Eustatius and Saba",2005,"Bonaire, Sint Eustatius and Saba2005",14399,1,0
"Bonaire, Sint Eustatius and Saba",2010,"Bonaire, Sint Eustatius and Saba2010",20941,1,0
"Bonaire, Sint Eustatius and Saba",2015,"Bonaire, Sint Eustatius and Saba2015",24571,1,0
"Bonaire, Sint Eustatius and Saba",2020,"Bonaire, Sint Eustatius and Saba2020",26221,1,0
Bosnia and Herzegovina,1990,Bosnia and Herzegovina1990,56000,1,-22.827
Bosnia and Herzegovina,1995,Bosnia and Herzegovina1995,69476,487.4769045,126.915
Bosnia and Herzegovina,2000,Bosnia and Herzegovina2000,82952,1484.176057,8.141
Bosnia and Herzegovina,2005,Bosnia and Herzegovina2005,47287,2980.601267,-37.107
Bosnia and Herzegovina,2010,Bosnia and Herzegovina2010,38945,4635.5102,-67.267
Bosnia and Herzegovina,2015,Bosnia and Herzegovina2015,38597,4729.690054,-33.976
Bosnia and Herzegovina,2020,Bosnia and Herzegovina2020,36042,6082.36673,-26.857
Botswana,1990,Botswana1990,27510,2945.83204,4.144
Botswana,1995,Botswana1995,40168,3219.914242,7.808
Botswana,2000,Botswana2000,74934,3522.310821,7.97
Botswana,2005,Botswana2005,84661,5513.331063,4.771
Botswana,2010,Botswana2010,94863,6434.812485,3.562
Botswana,2015,Botswana2015,103053,6402.910183,2.145
Botswana,2020,Botswana2020,110268,6348.832318,1.816
Brazil,1990,Brazil1990,798517,2622.262881,6.457
Brazil,1995,Brazil1995,741557,4748.388208,-26.337
Brazil,2000,Brazil2000,684596,3749.910848,-1.761
Brazil,2005,Brazil2005,638582,4790.456566,-42.926
Brazil,2010,Brazil2010,592640,11286.07154,16.843
Brazil,2015,Brazil2015,710304,8813.989806,4.764
Brazil,2020,Brazil2020,1079708,6814.875632,56.88
British Virgin Islands,1990,British Virgin Islands1990,8035,1,0.381
British Virgin Islands,1995,British Virgin Islands1995,10046,1,0.253
British Virgin Islands,2000,British Virgin Islands2000,12958,1,0.326
British Virgin Islands,2005,British Virgin Islands2005,15016,1,0.658
British Virgin Islands,2010,British Virgin Islands2010,17076,1,0.0
British Virgin Islands,2015,British Virgin Islands2015,19535,1,0.302
British Virgin Islands,2020,British Virgin Islands2020,22164,1,0.272
Brunei Darussalam,1990,Brunei Darussalam1990,73200,13607.89027,1.67
Brunei Darussalam,1995,Brunei Darussalam1995,84748,15933.45283,1.356
Brunei Darussalam,2000,Brunei Darussalam2000,96296,18012.50219,1.66
Brunei Darussalam,2005,Brunei Darussalam2005,98441,26105.42203,1.163
Brunei Darussalam,2010,Brunei Darussalam2010,100587,35270.64214,0.468
Brunei Darussalam,2015,Brunei Darussalam2015,102733,31164.03625,-0.485
Brunei Darussalam,2020,Brunei Darussalam2020,111959,27442.95383,-0.395
Bulgaria,1990,Bulgaria1990,21510,2366.529821,-29.479
Bulgaria,1995,Bulgaria1995,32435,2258.286018,-22.495
Bulgaria,2000,Bulgaria2000,43360,1621.242961,-11.295
Bulgaria,2005,Bulgaria2005,61074,3899.907638,-3.832
Bulgaria,2010,Bulgaria2010,76287,6853.002854,-8.686
Bulgaria,2015,Bulgaria2015,123803,7074.681023,-15.356
Bulgaria,2020,Bulgaria2020,184363,10079.20338,-9.902
Burkina Faso,1990,Burkina Faso1990,349652,351.9792335,-33.043
Burkina Faso,1995,Burkina Faso1995,464104,235.8321506,-39.033
Burkina Faso,2000,Burkina Faso2000,520363,255.7186873,3.88
Burkina Faso,2005,Burkina Faso2005,597658,457.9334308,9.794
Burkina Faso,2010,Burkina Faso2010,674438,647.8360955,-42.128
