,Index,destination,destination_code,origin,origin_code,Year,value
362,12038,ASIA_d,935,EUROPE,908,2015,6573735
363,12038,ASIA_d,935,EUROPE,908,2020,7169630
378,12043,ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,1990,118597
379,12043,ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,1995,291724
380,12043,ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,2000,407595
381,12043,ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,2005,394800
382,12043,ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,2010,426361
383,12043,ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,2015,376798
384,12043,ASIA_d,935,LATIN AMERICA AND THE CARIBBEAN,904,2020,414658
399,12047,ASIA_d,935,NORTHERN AMERICA,905,1990,239176
400,12047,ASIA_d,935,NORTHERN AMERICA,905,1995,277759
401,12047,ASIA_d,935,NORTHERN AMERICA,905,2000,324065
402,12047,ASIA_d,935,NORTHERN AMERICA,905,2005,382401
403,12047,ASIA_d,935,NORTHERN AMERICA,905,2010,468106
404,12047,ASIA_d,935,NORTHERN AMERICA,905,2015,496804
405,12047,ASIA_d,935,NORTHERN AMERICA,905,2020,538199
420,12048,ASIA_d,935,OCEANIA,909,1990,43560
421,12048,ASIA_d,935,OCEANIA,909,1995,47408
422,12048,ASIA_d,935,OCEANIA,909,2000,58045
423,12048,ASIA_d,935,OCEANIA,909,2005,70300
424,12048,ASIA_d,935,OCEANIA,909,2010,88244
425,12048,ASIA_d,935,OCEANIA,909,2015,92431
426,12048,ASIA_d,935,OCEANIA,909,2020,101725
462,17666,EUROPE_d,908,AFRICA,903,1990,4682594
463,17666,EUROPE_d,908,AFRICA,903,1995,5179831
464,17666,EUROPE_d,908,AFRICA,903,2000,5797189
465,17666,EUROPE_d,908,AFRICA,903,2005,7620545
466,17666,EUROPE_d,908,AFRICA,903,2010,8748280
467,17666,EUROPE_d,908,AFRICA,903,2015,9536606
468,17666,EUROPE_d,908,AFRICA,903,2020,11024274
483,17672,EUROPE_d,908,ASIA,935,1990,13453956
484,17672,EUROPE_d,908,ASIA,935,1995,14667430
485,17672,EUROPE_d,908,ASIA,935,2000,15541563
486,17672,EUROPE_d,908,ASIA,935,2005,16825888
487,17672,EUROPE_d,908,ASIA,935,2010,18287405
488,17672,EUROPE_d,908,ASIA,935,2015,19797557
489,17672,EUROPE_d,908,ASIA,935,2020,23203976
504,17678,EUROPE_d,908,EUROPE,908,1990,28367362
505,17678,EUROPE_d,908,EUROPE,908,1995,29988843
506,17678,EUROPE_d,908,EUROPE,908,2000,31590963
507,17678,EUROPE_d,908,EUROPE,908,2005,33415975
508,17678,EUROPE_d,908,EUROPE,908,2010,36683624
509,17678,EUROPE_d,908,EUROPE,908,2015,38418244
510,17678,EUROPE_d,908,EUROPE,908,2020,44246425
525,17683,EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,1990,1104536
526,17683,EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,1995,1340812
527,17683,EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,2000,1699981
528,17683,EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,2005,3453004
529,17683,EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,2010,4581301
530,17683,EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,2015,4487571
531,17683,EUROPE_d,908,LATIN AMERICA AND THE CARIBBEAN,904,2020,5395924
546,17687,EUROPE_d,908,NORTHERN AMERICA,905,1990,769469
547,17687,EUROPE_d,908,NORTHERN AMERICA,905,1995,743008
548,17687,EUROPE_d,908,NORTHERN AMERICA,905,2000,735943
549,17687,EUROPE_d,908,NORTHERN AMERICA,905,2005,824591
550,17687,EUROPE_d,908,NORTHERN AMERICA,905,2010,921685
551,17687,EUROPE_d,908,NORTHERN AMERICA,905,2015,972405
552,17687,EUROPE_d,908,NORTHERN AMERICA,905,2020,1100304
567,17688,EUROPE_d,908,OCEANIA,909,1990,191405
568,17688,EUROPE_d,908,OCEANIA,909,1995,222969
569,17688,EUROPE_d,908,OCEANIA,909,2000,259848
570,17688,EUROPE_d,908,OCEANIA,909,2005,284743
571,17688,EUROPE_d,908,OCEANIA,909,2010,323142
572,17688,EUROPE_d,908,OCEANIA,909,2015,348242
573,17688,EUROPE_d,908,OCEANIA,909,2020,397036
609,27286,LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,1990,19192
610,27286,LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,1995,19478
611,27286,LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,2000,20285
612,27286,LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,2005,21850
613,27286,LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,2010,27847
